"कृत्-प्रत्यय","प्रयोग / अर्थ","रूपान्त / प्रत्ययान्त रूप","उदाहरण (धातु + प्रत्यय = रूप)"
"क्त","भूतकर्म / कृतकार्य","तः / तम् / ता","पठ् + क्त = पठितः; कृ + क्त = कृतम्; कृ + क्त = कृता"
"क्तवतु","कर्तृवाचक भूतकाल","वान् / वती / वत्","कृ + क्तवतु = कृतवान्; कृ + क्तवतु = कृतवती; कृ + क्तवतु = कृतवत्"
"क्तिन्","भाववाचक संज्ञा","तिः","गम् + क्तिन् = गतिः; स्था + क्तिन् = स्थितिः"
"क्त्वा","पूर्वकालिक क्रिया","त्वा","गम् + क्त्वा = गत्वा; कृ + क्त्वा = कृत्वा"
"ल्यप्","पूर्वकालिक क्रिया (समास)","(आम तौर पर) त्वा","कृ + ल्यप् = कृत्वा"
"तव्यत्","योग्यता / कर्तव्य","तव्यम्","गम् + तव्यत् = गन्तव्यम्; पठ् + तव्यत् = पठितव्यम्"
"अनीयर्","योग्यता / कर्तव्य","नीयः / नीयम् / नीय","पठ् + अनीयर् = पठनीयः; कृ + अनीयर् = करणीयः"
"यत्","योग्यता / विधेय","यः / यम्","वद् + यत् = वाच्यः; दृश् + यत् = दृश्यः"
"तुमुन्","उद्देश्य","तुम्","नी + तुमुन् = नेतुम्; गम् + तुमुन् = गन्तुम्"
"घञ्","क्रियाफल / भाव","ः","भू + घञ् = भावः; स्मृ + घञ् = स्मारः"
"ण्वुल्","कर्ता","ता","कृ + ण्वुल् = कर्ता; गम् + ण्वुल् = गन्ता"
"णिनि","आदत / स्वभाव","ी","वद् + णिनि = वादी; पठ् + णिनि = पठी"
"ण्वि","भाववाचक संज्ञा","तिः","स्था + ण्वि = स्थितिः"
"णिच्","प्रेरणार्थक","यति","पठ् + णिच् = पाठयति; गम् + णिच् = गमयति"
"शतृ","वर्तमान कर्ता","न्त्","पठ् + शतृ = पठन्; गम् + शतृ = गच्छन्"
"शानच्","वर्तमान आत्मनेपदी","मान","लभ् + शानच् = लभमानः; सेव् + शानच् = सेवमानः"
"ल्युट्","कार्य / साधन","ः","पच् + ल्युट् = पाकः"
"क्विप्","कर्ता (संक्षिप्त)","ी","तप् + क्विप् = तपस्वी"
"अच्","भाववाचक","ः","हस् + अच् = हासः"
